algoritmo,N,dataset_size,tiempo_entrenamiento_s,tiempo_inferencia_s_por_muestra,accuracy,memoria_parametros_bytes,memoria_dataset_bytes
MLP,2,4,0.00261635,1.6025e-07,1,136,64
Perceptron,2,4,0.000318569,2.9e-08,0.5,24,64
MLP,3,8,0.00567786,1.3875e-07,0.875,248,192
Perceptron,3,8,0.000545327,1.9375e-08,0.25,32,192
MLP,4,16,0.0111119,1.24188e-07,0.5,392,512
Perceptron,4,16,0.000941448,1.5375e-08,0.6875,40,512
MLP,5,32,0.0236027,1.52125e-07,0.5,568,1280
Perceptron,5,32,0.00199831,1.42812e-08,0.6875,48,1280
MLP,6,64,0.0500774,1.61078e-07,0.5,776,3072
Perceptron,6,64,0.00405274,1.25156e-08,0.484375,56,3072
MLP,7,128,0.113681,1.72438e-07,0.5,1016,7168
Perceptron,7,128,0.00957284,1.3e-08,0.5,64,7168
MLP,8,256,0.28788,2.46297e-07,0.503906,1288,16384
Perceptron,8,256,0.0163868,1.17852e-08,0.5,72,16384
MLP,9,512,0.706108,2.29299e-07,0.5,1592,36864
Perceptron,9,512,0.0371166,1.23965e-08,0.5,80,36864
MLP,10,1024,1.70126,2.8276e-07,0.5,1928,81920
Perceptron,10,1024,0.0801921,1.22178e-08,0.50293,88,81920
MLP,11,2048,3.53472,5.56296e-07,0.5,2296,180224
Perceptron,11,2048,0.185044,2.59346e-08,0.5,96,180224
MLP,12,4096,7.64372,3.40266e-07,0.5,2696,393216
Perceptron,12,4096,0.355891,2.72041e-08,0.501953,104,393216
